,clean_tweets,prediction,language,confidence
3,I felt my first flash of violence at some fool who bumped into me I pity the fool,"('en', 0.9772645831108093)",en,0.9772645831108093
4,Ladies drink and get in free till ,"('en', 0.6527988910675049)",en,0.6527988910675049
7,Watching Miranda On bbc mermhart u r HILARIOUS ,"('en', 0.5819909572601318)",en,0.5819909572601318
9,Shopping  Kohls httptcoIZkQHT,"('en', 0.5320528745651245)",en,0.5320528745651245
16,Dennycrowe all over twitter because you and your friends cant stick up for yourselves,"('en', 0.768022358417511)",en,0.768022358417511
21,The way you treat me The way you accept me and love me How much you care about me Thats what makes you perfect,"('en', 0.9927026629447937)",en,0.9927026629447937
22,I just wanna get pulled on the sled by the four wheeler again goodshit,"('en', 0.8898915648460388)",en,0.8898915648460388
23,Oh theres that fake door slam noise  ugh CBB,"('en', 0.7740566730499268)",en,0.7740566730499268
24,Taybaybay cool Wanna see when u get it,"('en', 0.9530688524246216)",en,0.9530688524246216
25,delwebb hahaa I never get told to be a post  But Ill most likely guard yaaaa,"('en', 0.8663251996040344)",en,0.8663251996040344
27,Opucar timallen Im in Tennessee Only bears and mountain lions round these parts,"('en', 0.8618153929710388)",en,0.8618153929710388
28,Cant do right without doing wrong first,"('en', 0.8515466451644897)",en,0.8515466451644897
30,FlaccidDaddy and goodluck on that young occupation,"('en', 0.8955035209655762)",en,0.8955035209655762
31,kiapegg ahh okay how old ate you I am ,"('en', 0.6568612456321716)",en,0.6568612456321716
36,Rain bitches but get my dick on with  at least  chicks at York these hoes are easy game dont change baby haha,"('en', 0.9321334362030029)",en,0.9321334362030029
37,SexSurvey  If you were a stripper what would your name be Trixie or Tricktina as a girl  as a boy my name,"('en', 0.9985421299934387)",en,0.9985421299934387
38,RT“iLeexi I feel shittttttty I cant even get off my bed No srsly I feel rlly sick and shitty”,"('en', 0.9207454323768616)",en,0.9207454323768616
41,adampoulos TyreceSpeaight even me Are you at the party,"('en', 0.900943398475647)",en,0.900943398475647
47,Drinking a Mamas Little Yella Pils by oskarblues  Thunderdome — httptcoVEwnxn,"('en', 0.6960617899894714)",en,0.6960617899894714
48, PM  Harrahs Las Vegas  NL Holdem Poker Tournament w  Bounties HarrahsVegas httptcofmxWZT,"('en', 0.5973804593086243)",en,0.5973804593086243
52,Fifi gatal Takk abes nk double meaning Iyewwww,"('en', 0.5920048952102661)",en,0.5920048952102661
53,And my grades are top notch ,"('en', 0.8585880994796753)",en,0.8585880994796753
56,Yeah fuck saqouit fans i aint scared,"('en', 0.5225921869277954)",en,0.5225921869277954
64,geegrapes Its all about being real and true to yourself The opposite of real is fake,"('en', 0.9611084461212158)",en,0.9611084461212158
68,Whistle baby,"('en', 0.6739833950996399)",en,0.6739833950996399
69, Joos DLP ThroughFeed Hot Veneer Press Please feel free to make an offer All offers will be considered httptcofMFphDB,"('en', 0.9451112151145935)",en,0.9451112151145935
75,Seriously I feel Betrayed,"('en', 0.9025912880897522)",en,0.9025912880897522
77,BigJoe I plugged it in the computer so no,"('en', 0.7824143171310425)",en,0.7824143171310425
80,FucKUPayyMee Lawwdd it feel like somebody just punchin me in my cat Lmaoo see nasty asz,"('en', 0.8582663536071777)",en,0.8582663536071777
86,ronaldtoswoll lmfaooo thats a girl store,"('en', 0.6248172521591187)",en,0.6248172521591187
88,My ears once again hurt so much,"('en', 0.978699803352356)",en,0.978699803352356
95,Safe to say I teared up more than I do in the average year in one night at Les Mis musicgotmegoing noshame,"('en', 0.8752473592758179)",en,0.8752473592758179
96,Jinki do you know that she has passed on,"('en', 0.9953494668006897)",en,0.9953494668006897
104,Damn your ex is a cry baby He dont wanna talk to me,"('en', 0.916293203830719)",en,0.916293203830719
105,AndyMolitor she will be devastated,"('en', 0.9827072024345398)",en,0.9827072024345398
109,LukeMalvern ahwwww Lukey your profile picture is so adorable,"('en', 0.8268803954124451)",en,0.8268803954124451
115,My baby Is completely frozen no way I can drive this shit no time soon httptcofBvytx,"('en', 0.8869953751564026)",en,0.8869953751564026
120,MarcAnthony nallelyyj Well instead of scaring her you scared me,"('en', 0.723598837852478)",en,0.723598837852478
121,Everything I dont want to happen is happening Smh I hate my life right now ,"('en', 0.8318793773651123)",en,0.8318793773651123
127,Its funny because in every situation we go threw your aloud to tell ur best friend but I cant toobad goingtoanyways,"('en', 0.797429084777832)",en,0.797429084777832
128,I am not a godly person or a religious one for that matter Mostly because Im logical and I grew out of pretending Just sayin,"('en', 0.9303455352783203)",en,0.9303455352783203
132,Ughh HeavyHitterz needs to hurry the hell up and get outta work,"('en', 0.959530234336853)",en,0.959530234336853
135,SheeRatchettt Amen,"('en', 0.5891667604446411)",en,0.5891667604446411
136,ChineseJasminee okay good  Please come  And no I dont talk to her nor joselin  Yes  Saturday Sunday Monday amp Tuesday  x,"('en', 0.8986683487892151)",en,0.8986683487892151
137,parcelgoHelp sadly this BOSE DOCKING STATION has not arrived and I am most annoyed I want this item replaced asap httptcooobbBcp,"('en', 0.9375582933425903)",en,0.9375582933425903
138,Catfish need some hood ppl though That would be funny,"('en', 0.9902777075767517)",en,0.9902777075767517
139,Finally bedtime Goood freaking niighhtt,"('en', 0.5518596768379211)",en,0.5518596768379211
140,EdDJGex i did the bpm because i mix quickly so i can pitch them up for quick inmixing,"('en', 0.9545879364013672)",en,0.9545879364013672
141,Aww how cute is that  you can text every other fucker in this world but not me Shocking,"('en', 0.9734230041503906)",en,0.9734230041503906
145,kristacipriani sleep is for the weak  week,"('en', 0.9594230055809021)",en,0.9594230055809021
151,I wish you would just text me this once,"('en', 0.9900491237640381)",en,0.9900491237640381
155,Bought Al Fakher Orange  Grape and Vanilla Its gonna be Vanilla Twilight,"('en', 0.7161864638328552)",en,0.7161864638328552
157,just set my alarm for the first time in weeks morningstruggle ⏰,"('en', 0.9105802774429321)",en,0.9105802774429321
161,Baltimore is going CRAZY  The celebration has just begun ,"('en', 0.9968186616897583)",en,0.9968186616897583
162,i got my days amp nights mixed up like ima newborn or sum sht ,"('en', 0.7052215337753296)",en,0.7052215337753296
163,Bugis like got a lot of nice clothes ah,"('en', 0.8533427715301514)",en,0.8533427715301514
168,skatherine its okay lt,"('en', 0.9262601733207703)",en,0.9262601733207703
174,pinchedandan Im calling u a bitch dummy,"('en', 0.5073210000991821)",en,0.5073210000991821
175,Broph why was I the last to know Haha,"('en', 0.9986116886138916)",en,0.9986116886138916
177,BamBamBeast NeilChallis not the rd ,"('en', 0.7265281677246094)",en,0.7265281677246094
179,Dear BMSNard is by far the best bit on the BMSOnTheAir killinit,"('en', 0.9681033492088318)",en,0.9681033492088318
181,After these exams Im definitly gonna have to get together with friends whatmakesthedaybetter,"('en', 0.9470250606536865)",en,0.9470250606536865
185,Dense Fog Advisory issued January  at PM CST until January  at AM CST by NWS Lake Charles httptcoRbQFvzr,"('en', 0.981285035610199)",en,0.981285035610199
186,WOLFwinningWOLF alottttttttt,"('en', 0.8396512866020203)",en,0.8396512866020203
187,Everything makes more sense on a legal pad,"('en', 0.8597789406776428)",en,0.8597789406776428
189,I didnt stop loving you I just stopped showing it Inspired by echiprutt wakakak,"('en', 0.9779286980628967)",en,0.9779286980628967
190,Time to do work gtgtgtgtgt,"('en', 0.5391421914100647)",en,0.5391421914100647
193,thxyuuu jepa zevansca Oke syg pasti ˘ʃƪ˘ rindySW zevansca yaa gpp jepa doain cepet taken yaaa,"('en', 0.5159307718276978)",en,0.5159307718276978
194, “ForTheFame How some of you gays take pics wit yall fingers in yall asses amp then post them on the Internet is beyond me”,"('en', 0.9408469200134277)",en,0.9408469200134277
195,After all the dancehall artists I still get mad ova Busy Signal,"('en', 0.8996940851211548)",en,0.8996940851211548
197,DanReader I chose DRTammunition Its safe enough to do a mag dump at contact distance on steel amp has impressive effects on soft tissue,"('en', 0.93221515417099)",en,0.93221515417099
198,WaysToGetSlapped fuckin with my nigga,"('en', 0.5536412596702576)",en,0.5536412596702576
199,We rang  and they told us to go away Rude that,"('en', 0.9573482275009155)",en,0.9573482275009155
200,I just wanna sleep all day tomorrow,"('en', 0.9087521433830261)",en,0.9087521433830261
204,AmVolunteer porque,"('en', 0.8533994555473328)",en,0.8533994555473328
208,Its not even like she tryin tk hide I see ur name,"('en', 0.9733752608299255)",en,0.9733752608299255
211,Ciaraannbarry hha where did ya meet this gay fella ,"('en', 0.711830735206604)",en,0.711830735206604
213,You never miss something tilours gone,"('en', 0.7387401461601257)",en,0.7387401461601257
214,JLIsley well two of my friends are on the way right now So thats random again u picked Dallas Lol So now u gotta drive us,"('en', 0.9680335521697998)",en,0.9680335521697998
216,But I love AshleyKirwanMBE more Better than David at footy too,"('en', 0.9670804142951965)",en,0.9670804142951965
221,Today I tripped and Im  sure a fuck ton of people driving on Johnston saw it My dayltltlt,"('en', 0.9270262122154236)",en,0.9270262122154236
225,BisforBooYah showin no mercy,"('en', 0.8085306286811829)",en,0.8085306286811829
