,clean_tweets,prediction,language,confidence
17,JuanChrystma chama e puxa veem e vai,"('pt', 0.662814199924469)",pt,0.662814199924469
26,vou começar pela melhor metade ,"('pt', 0.9992270469665527)",pt,0.9992270469665527
44,jooa amanha eu treino,"('pt', 0.9606873393058777)",pt,0.9606873393058777
60,victorcarbono nossa muito duas garrafas de vodka pura uma agnt teve que da pro policial a outra ja tava vazia hauhauahua,"('pt', 0.9779897928237915)",pt,0.9779897928237915
70,robsdlp nao vida to pelo  ela,"('pt', 0.9858106970787048)",pt,0.9858106970787048
71,Isso mesmo kkkkkk,"('pt', 0.7021540403366089)",pt,0.7021540403366089
87,tbouvier muito bom flamengo sim,"('pt', 0.9426223635673523)",pt,0.9426223635673523
89,Ishih Gabi  Paula  a confusão Gabi  Paula  Brenda  corre negada,"('pt', 0.9952182769775391)",pt,0.9952182769775391
119,Pequena no tamanho e cada vez maior nas suas conquistas Só orgulho Aguarde sabado a comemoração será ao nosso estilo hahaha luanabilro,"('pt', 0.9606123566627502)",pt,0.9606123566627502
130,xXBRANdoNDXx LAZAROW  WHAT,"('pt', 0.6087332963943481)",pt,0.6087332963943481
148,juliasalves nem sou mesmo devo te dreads,"('pt', 0.8012925982475281)",pt,0.8012925982475281
152,Bigetao era p falar no chat hahhah deixa entãoboa noitete amosleep tight,"('pt', 0.9628117084503174)",pt,0.9628117084503174
153,Nooooooossa A garota acabou de lamber dentro da minha orelha,"('pt', 0.9616316556930542)",pt,0.9616316556930542
183,Vovozinha sua linda  httptcoRVWmQ,"('pt', 0.7028273940086365)",pt,0.7028273940086365
202,fiquei tanto tempo mexendo carne moída que acho que meu braço vai cair,"('pt', 0.9453678131103516)",pt,0.9453678131103516
218,cheguei cedinho do cfolia,"('pt', 0.7200549244880676)",pt,0.7200549244880676
220,Era Deus caminhando o tempo todo com você,"('pt', 0.9969920516014099)",pt,0.9969920516014099
232,camilati vou e vc cá,"('pt', 0.8769310116767883)",pt,0.8769310116767883
287,DiogoTPinheiro é optimo sem duvida Tens de tirar a carta rapido Depender dos transportes publicos ou dos pais é terrivel,"('pt', 0.8949501514434814)",pt,0.8949501514434814
293,eu e a bianca vamos fazee liçao todo dia juntas,"('pt', 0.9790464639663696)",pt,0.9790464639663696
305,mac miller é lindoooo,"('pt', 0.9998534917831421)",pt,0.9998534917831421
323,Raíssa ficou com raiva só pq eu falei pra ela tomar conta da vida dela hahaha,"('pt', 0.9843150973320007)",pt,0.9843150973320007
325,Vou comprar um cachorro quente com meu irmão bjux,"('pt', 0.9940531849861145)",pt,0.9940531849861145
349,Vou pagar um traveco pro vitor,"('pt', 0.8393006324768066)",pt,0.8393006324768066
