,clean_tweets,prediction,language,confidence
10,Mizzh celos es tu segundo nombre,"('es', 0.8841692209243774)",es,0.8841692209243774
13,Quiero jugar tenis ,"('es', 0.9755073189735413)",es,0.9755073189735413
29,Tweet  Dedicado a ZayraIzquierdo ,"('es', 0.9443190693855286)",es,0.9443190693855286
34,PatyVanGogh rangoo Regalame el reloj mejor xDDDDDDDDDD,"('es', 0.9684176445007324)",es,0.9684176445007324
54,Mejor no le digo nada si lo hago voy a parecer su mamá e igual no me hara casó,"('es', 0.9669708013534546)",es,0.9669708013534546
63,El nuevo comercial de suerox es una mamada jajajaja,"('es', 0.9255378842353821)",es,0.9255378842353821
67,RT KaroliyaAmeOub CataDeLina se los pegare en tu nombre en cualquier momento xD Me parece perfectooooo xD jajajaj,"('es', 0.9166095852851868)",es,0.9166095852851868
79,Y para acabarla habla súper lento mi compadre ,"('es', 0.9403880834579468)",es,0.9403880834579468
110,Después de correr con chaydp Jmmacoco josera una buena merienda para coger fuerzas jaja,"('es', 0.9597190618515015)",es,0.9597190618515015
111,Pauladominguez como va el embarazo En que semana estas,"('es', 0.9967840909957886)",es,0.9967840909957886
122,Y tu el aire que me levanta que me da fuerza para este amor TuAmorMeHaceTantoBien,"('es', 0.9003813862800598)",es,0.9003813862800598
131,Gent en menos personalitat queay noque tu eres el exemple,"('es', 0.5653736591339111)",es,0.5653736591339111
133,cancionesquesonperfectas httptcoFbAcFuMj uno de mis temas favoritos de Placebo no podria ser mejor este tema la letra lo dice todo,"('es', 0.862113356590271)",es,0.862113356590271
134,Ufff que mal lo he paasado Muyfuertetodo,"('es', 0.6414600014686584)",es,0.6414600014686584
147,Escuchar el repique que toca el boli se me eriza la piel,"('es', 0.9002674221992493)",es,0.9002674221992493
158,y empezaron los tacos,"('es', 0.9850549101829529)",es,0.9850549101829529
167,Ya instalado mañana al Vaticano   Bed amp Breakfast httptcoaeUhfIR,"('es', 0.6351134181022644)",es,0.6351134181022644
188,UlloaSalgado buuuu entonce pa que me invitai,"('es', 0.6768339276313782)",es,0.6768339276313782
207,lizzz sí verdad como estas ,"('es', 0.9870560169219971)",es,0.9870560169219971
217,Minas resentidas hay miles Chicas quieranse please  si te dejaron es por algo si no t quieren es por algo Atinennnnn ,"('es', 0.9359079599380493)",es,0.9359079599380493
242,medri gobiernos autonómicos,"('es', 0.8572186231613159)",es,0.8572186231613159
253,CeliaaDiaaz enfin jjj y que es de tu vida amool mañana salez,"('es', 0.8145458698272705)",es,0.8145458698272705
303,Otro diita en casa ,"('es', 0.7912882566452026)",es,0.7912882566452026
327,miguelpasquau una toga disfrazada de juez y resulta que La maricona es un puto socialista disfrazado de juez valla cara dura y cobrando,"('es', 0.9323109984397888)",es,0.9323109984397888
331,Los amigos son como los buenos libros no es necesario tener muchos sino tener los mejoresnnExcelente inicio de semana  ,"('es', 0.9909399747848511)",es,0.9909399747848511
333,Acabo de publicar una foto  pj  httptcoZRphxJRI,"('es', 0.5251247882843018)",es,0.5251247882843018
350,ellehendakari lt tuuu me dejai botada te mando mensajes terrible bonitos y tu me ignoras,"('es', 0.8361495137214661)",es,0.8361495137214661
353,Haciendo un aro aro en el camino ,"('es', 0.8484912514686584)",es,0.8484912514686584
354,mareiisa Q tengas un muy buen dia d la Amistad y porque no tambien del AmorFelizSanValentin httptcoyDKraHSA,"('es', 0.8842413425445557)",es,0.8842413425445557
368,Buenos días me duele la gargantaS mariangelestru,"('es', 0.8777509927749634)",es,0.8777509927749634
375,No me puedo dormir El libro ya me aburrió y me quede sin vidas en el candy crush Así qué hola,"('es', 0.9882124662399292)",es,0.9882124662399292
382,Lo más difícil de irme cada fin es decirte te veo el próx Fin ,"('es', 0.9030017256736755)",es,0.9030017256736755
400,DaniaRamos te lo juro mi vida eres mi amor joven HAHAH oye DM,"('es', 0.9509952068328857)",es,0.9509952068328857
403,PepaValenzuela y conmigo,"('es', 0.926203727722168)",es,0.926203727722168
419,Quieren un seguidor más Sigan a apcv da FOLLOW BACK lt x,"('es', 0.9180567860603333)",es,0.9180567860603333
450,Teiwaz alerocknrolla orlandoevaldez No es Puyol el problema Creo que Fabregas jamás esta a la altura de estos juegos,"('es', 0.9478635191917419)",es,0.9478635191917419
481,Estoy en un salón que se podría jugar al kinect y a la wii a la vez aquí dentro y estoy seguro al  de que no habría víctimas mortales,"('es', 0.9661593437194824)",es,0.9661593437194824
490,yolyroldan jarmuhbuh  Martinillo ivi gracias por todo tambiénos lo agradezco mucho ,"('es', 0.9974439144134521)",es,0.9974439144134521
524,Dor de cabeca Oi vc por aki,"('es', 0.8623026013374329)",es,0.8623026013374329
548,Comenzó la última función de CHE CUÑADA CHE MONDOHOTA patriciareynapy letipanambi  y Silvio Rodas httptcoMnlwREbeQa,"('es', 0.9015638828277588)",es,0.9015638828277588
552,Día mas ogt no se puede se me olvidó el cargador y esta madre ya se está descargando ,"('es', 0.9799532890319824)",es,0.9799532890319824
579,Isra ya estoy aquí peleando y esto es del diablo ,"('es', 0.9689645767211914)",es,0.9689645767211914
580,patrilalelilolu acias,"('es', 0.7442405223846436)",es,0.7442405223846436
585,Meses preparándose para la maratón de  Barcelona y dos días antes con fiebre  vamospadre,"('es', 0.9190256595611572)",es,0.9190256595611572
595,PaauMoraless solo quiero ayudarte ,"('es', 0.9516937732696533)",es,0.9516937732696533
599,Rumbo a Sevilla con mi laauriprieto de acompañante y los gritos de braiselbufon que no me dejan dormir jajajajaja,"('es', 0.9120804071426392)",es,0.9120804071426392
602,Te quiero  httptcooFUmclBu,"('es', 0.6255989074707031)",es,0.6255989074707031
613,De esas veces que estas super empinado sentimentalmente pero algo pasa super enorme y te da voluntad para estar feliz,"('es', 0.9243321418762207)",es,0.9243321418762207
621,Estoy casi segura que Danielgrossoc Tiene deficit atencional,"('es', 0.9239322543144226)",es,0.9239322543144226
627,En los pequeños detalles esta la esencia viva de todas las cosas,"('es', 0.9848462343215942)",es,0.9848462343215942
628,Recuerdo aquella vez que mi ex me eliminó del Facebook Fui y le escribí Hijo de tu puta madre en el muro ¡De su casa,"('es', 0.9379395246505737)",es,0.9379395246505737
635,danoga ricardotva rubelsv alefloresd pq a la mayoría no le pareció tan mal Y aunq para decir esto Dani tuvo q persinarse antes jaja,"('es', 0.9716953039169312)",es,0.9716953039169312
645,Se pasó el árbitro CTM,"('es', 0.9460180401802063)",es,0.9460180401802063
660,meteoAlarm en Barcelona para el   sobre Tormentas de nivel VERDE,"('es', 0.9580327868461609)",es,0.9580327868461609
670,CosasSobreMi soi tan vago que prefiero se k me kede el móvil sin batería antes que levantarme dos metros a x el cargador,"('es', 0.9128738641738892)",es,0.9128738641738892
686,gcal  sigen mamando los lakers tienen las mejor   racha con  victorias,"('es', 0.9971031546592712)",es,0.9971031546592712
726,Crystalfm ola x favor escurioso de la pequenosmusical  para mi amix crisflores  gracias,"('es', 0.7675646543502808)",es,0.7675646543502808
742,Viendo el super partido del ame  Mi Casita pic httptcoarnDjfPrNn,"('es', 0.7171767950057983)",es,0.7171767950057983
765,Ya he llegado ,"('es', 0.6398690342903137)",es,0.6398690342903137
776,telmoheller jJajajajajajajaj habia miedo Pero es de coña,"('es', 0.5761911273002625)",es,0.5761911273002625
781,Pues nada meduelen las nalgas ,"('es', 0.9944712519645691)",es,0.9944712519645691
833,Una lección más Más fuerte que me hago,"('es', 0.9919862747192383)",es,0.9919862747192383
859,Una cita en El Raval con debate randomhouse  La Central del Raval httptcoPAETHiYt,"('es', 0.571458637714386)",es,0.571458637714386
868,myangelisbieber La linea  la verde teni que bajarte en la estacion mirador esta direccion vicente valdez,"('es', 0.8140052556991577)",es,0.8140052556991577
909,El tipo de liderazgo que deseas llevar a la empresa tiene que ser congruente con el tipo de liderazgo que vives en tu familia Vía RGDirCom,"('es', 0.9303596615791321)",es,0.9303596615791321
938,ChrisRumsfeld me gusta de aqui a los libros un paso xD,"('es', 0.9536556005477905)",es,0.9536556005477905
995,ale mis favoritos son Klopp Laudrup Conte y Luis Enriqueasi a bote pronto,"('es', 0.6202753782272339)",es,0.6202753782272339
1002,Fuckk me tendre que quitar mi mechon rojo ni pei,"('es', 0.7685497999191284)",es,0.7685497999191284
1006,Lauraconil jajajajajajaja a diferencia de mi XD,"('es', 0.5041919350624084)",es,0.5041919350624084
1030,IncGARAGON el  tipo OBRA PRECAUCIÓN AMARILLO en Huesca Tardienta  Valfonda vía A PK,"('es', 0.9867207407951355)",es,0.9867207407951355
1050,Abcinderellisk asuuuu tantoo que bueno que ya estés mejor Cinlt,"('es', 0.8394163250923157)",es,0.8394163250923157
1061,nuuriittaaa jopeeee carii Pues vaya Al final no te podre poner ninguna cancion no las puedes ver casi ninguna  te quiero mi vida,"('es', 0.7884311079978943)",es,0.7884311079978943
1070,Quiero ver a esta princesa siempre así con su gran sonrisa de oreja a oreja SaritaGarron L httptcoqViEYKV,"('es', 0.9429260492324829)",es,0.9429260492324829
1078,LuisGutierrezz claro que si cuando tu me digas vamos,"('es', 0.7737061381340027)",es,0.7737061381340027
1080,Puta la gente relajada para trabajar en esta caga de muniun hora por una simple cotización los wnes httptcosBprJMni,"('es', 0.9838200807571411)",es,0.9838200807571411
1108,AngelRojas no we si ganan hoy sera el unico ajajaj,"('es', 0.5101616382598877)",es,0.5101616382598877
1112,Puta reglamatadme,"('es', 0.6620610952377319)",es,0.6620610952377319
1125,Llego justita pal recreomae que me parió,"('es', 0.8965473175048828)",es,0.8965473175048828
1131,Puede llegar el Jueves que viene YA,"('es', 0.9103517532348633)",es,0.9103517532348633
1137,enfin buenas noches,"('es', 0.5874051451683044)",es,0.5874051451683044
